"code","label"
1,"Auto signal part defective"
2,"Auto traffic signal - out"
3,"Automatic traffic signal out"
4,"Automatic traffic signal partially defective"
5,"Data missing or out of range"
6,"Mud"
7,"Mud (from 2005 - see A23)"
8,"None"
9,"NULL or Invalid value"
10,"Oil or diesel"
11,"Oil or diesel (from 2005 - see A23)"
12,"Permanent road signing or marking defective or obscured"
13,"Road sign or marking defective or obscured"
14,"Road signs or markings defective or obscured"
15,"Road surface defective"
16,"Road works present"
17,"Roadworks"
18,"Undefined"
